2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,indic_is,geo
,,,,,,,,,30.32,33.33,41.39,47.53,41.59,,I_IHIF,AL
,37.43,52.52,,48.92,,53.82,55.95,53.75,51.67,53.24,56.26,60.06,62.82,64.25,I_IHIF,AT
,,,,,,,,,36.02,24.9,30.62,44.5,,47.55,I_IHIF,BA
,36.58,35.12,,43.28,,47.4,48.9,51.96,46.12,48.74,51.04,49.81,52.58,54.72,I_IHIF,BE
,13.48,23.68,,27.21,,27.88,23.89,33.65,24.73,30.39,28.81,36.02,39.09,43.14,I_IHIF,BG
,,,,,,,,63.97,,66.87,,72.5,,69.39,I_IHIF,CH
,21.4,28.08,,32.17,,49.85,42.7,57.96,56.66,68.65,60.84,73.68,72.88,73.66,I_IHIF,CY
,20.53,31.17,,40.54,,39.87,45.76,51.39,55.08,56.46,62.1,63.73,62.44,64.15,I_IHIF,CZ
,47.92,53.85,,58.35,,61.69,63.07,63.42,64.13,66.49,70.13,44.77,36.56,46.25,I_IHIF,DE
,51.7,53.62,,54.4,,65.64,64.69,64.15,66.44,67.36,72.05,75.13,70.81,73.87,I_IHIF,DK
,35.04,33.48,,39.22,,54.73,57.05,58.72,59.64,59.54,58.23,61.94,59.48,63.47,I_IHIF,EE
,22.27,30.21,,33.54,,37.2,40.64,47.25,47.09,49.86,52.02,58.58,56.6,48.67,I_IHIF,EL
,33.17,37.73,,43.72,,51.88,49.14,56.94,54.88,60.13,67.08,69.37,64.85,67.27,I_IHIF,ES
,33.97,38.46,,43.57,,44.98,47.13,50.27,50.58,53.18,56.24,55.27,51.95,56.24,I_IHIF,EU27_2020
,57.37,58.32,,60.1,,65.91,64.59,68.5,69.43,76.32,77.15,79.67,80.5,82.62,I_IHIF,FI
,35.03,36.45,,48.59,,39.98,42.55,43.6,45.93,49.59,,56.07,50.26,55.15,I_IHIF,FR
,25.01,35.12,,35.26,,50.08,53.3,52.77,50.85,62.77,58.04,60.0,59.0,54.99,I_IHIF,HR
,40.07,48.13,,49.36,,53.35,53.58,57.71,56.19,60.46,63.0,64.46,68.1,67.31,I_IHIF,HU
,27.44,39.92,,37.85,,35.47,36.16,37.45,46.77,56.87,59.9,66.32,,57.63,I_IHIF,IE
,41.67,60.68,,65.45,,,,55.66,62.55,64.68,68.58,71.36,,,I_IHIF,IS
,22.89,27.11,,32.16,,30.38,31.44,32.69,35.07,35.0,46.21,52.5,52.23,52.82,I_IHIF,IT
,30.68,37.21,,40.7,,45.67,44.52,55.14,54.13,60.63,57.1,65.11,61.89,66.66,I_IHIF,LT
,58.21,52.19,,57.87,,61.77,70.72,64.94,53.29,58.17,53.02,53.84,46.35,48.03,I_IHIF,LU
,32.4,37.82,,37.25,,41.37,38.87,42.63,36.86,47.89,49.24,52.29,42.61,52.74,I_IHIF,LV
,,,,,,,,43.06,43.26,45.47,36.87,50.18,50.72,60.36,I_IHIF,ME
,15.83,,,35.2,,37.96,39.59,43.81,39.71,45.08,40.88,50.02,,,I_IHIF,MK
,33.73,39.11,,40.83,,53.42,55.7,59.71,58.84,62.02,64.47,70.78,65.76,67.7,I_IHIF,MT
,50.49,52.53,,57.02,,61.42,62.96,71.08,71.68,73.97,76.21,77.25,78.01,78.82,I_IHIF,NL
,46.96,52.44,,53.61,,64.28,60.59,63.35,65.79,68.98,73.54,77.38,75.98,75.02,I_IHIF,NO
,25.33,23.42,,26.56,,28.3,40.32,45.0,47.67,47.4,42.81,46.82,52.02,52.96,I_IHIF,PL
,30.26,36.37,,41.51,,47.2,48.89,50.66,44.59,49.41,48.98,53.33,49.46,54.59,I_IHIF,PT
,19.13,28.52,,26.66,,26.57,28.85,32.6,30.7,31.2,28.12,40.04,28.92,46.13,I_IHIF,RO
,,,,,,37.05,,51.95,40.36,54.21,46.42,56.01,55.94,60.6,I_IHIF,RS
,40.46,46.56,,55.89,,52.28,60.48,64.13,62.45,62.24,67.35,67.58,66.67,69.42,I_IHIF,SE
,43.41,47.06,,50.07,,47.31,48.38,54.5,48.34,48.07,57.91,54.21,50.22,51.35,I_IHIF,SI
,35.25,37.93,,44.21,,46.59,44.65,49.87,48.8,52.64,56.01,55.57,42.97,55.58,I_IHIF,SK
,17.77,,,25.74,,33.99,38.46,45.01,48.89,51.26,50.76,56.62,53.82,56.97,I_IHIF,TR
,32.17,36.22,,45.21,,53.3,55.95,56.74,58.17,66.89,63.29,,,,I_IHIF,UK
,,,,,,,,,28.01,34.4,37.53,44.19,51.21,,I_IUIF,AL
,,,70.65,67.39,68.87,61.96,70.33,62.54,60.79,61.77,67.38,70.9,75.98,76.32,I_IUIF,AT
,,,,,,,,,51.16,39.54,49.18,50.68,,58.63,I_IUIF,BA
,,,65.34,66.61,71.31,69.79,72.24,73.55,74.61,76.18,77.54,75.16,79.23,78.53,I_IUIF,BE
,,,35.78,34.87,41.27,34.52,38.46,39.34,43.0,37.94,50.04,45.75,60.19,50.75,I_IUIF,BG
,,,,,71.68,,,77.61,,80.93,,85.75,,87.74,I_IUIF,CH
,,,55.01,56.12,61.74,53.63,61.54,61.45,71.87,71.57,78.31,79.08,73.09,81.25,I_IUIF,CY
,,,62.06,63.36,69.3,68.01,73.69,73.4,76.76,76.24,76.63,79.51,81.57,84.33,I_IUIF,CZ
,,,74.71,77.18,79.32,80.4,82.21,83.41,86.14,85.56,86.74,60.93,60.86,41.67,I_IUIF,DE
,,,81.55,82.16,83.81,77.17,86.31,79.31,87.77,85.02,90.0,85.48,89.97,88.59,I_IUIF,DK
,,,69.88,59.96,75.58,75.24,77.12,74.77,79.99,77.93,80.87,80.49,78.55,78.83,I_IUIF,EE
,,,45.43,49.94,52.05,53.76,56.55,57.38,64.57,66.79,69.43,69.94,74.17,75.76,I_IUIF,EL
,,,59.87,47.53,65.58,54.77,66.58,63.0,72.34,72.85,78.29,74.0,75.57,72.3,I_IUIF,ES
,,,59.94,57.77,62.24,59.6,63.46,64.05,68.04,66.48,70.03,66.14,69.42,64.45,I_IUIF,EU27_2020
,,,80.89,79.28,85.27,81.91,85.43,85.32,83.77,86.56,84.66,90.55,90.34,92.26,I_IUIF,FI
,,,68.96,68.31,69.04,68.82,64.55,67.13,69.81,61.54,,63.84,74.05,65.41,I_IUIF,FR
,,,52.2,46.41,43.63,56.94,65.87,59.25,65.81,73.86,70.94,73.69,76.08,74.75,I_IUIF,HR
,,,58.78,58.06,65.95,60.66,69.78,65.01,68.63,69.26,76.27,78.93,77.75,84.81,I_IUIF,HU
,,,62.98,60.85,67.68,64.08,67.58,69.7,72.55,76.54,71.72,87.1,,86.73,I_IUIF,IE
,,,88.16,86.0,89.13,,,88.98,92.07,91.78,94.12,93.5,,,I_IUIF,IS
,,,40.94,37.18,35.06,37.12,34.62,37.87,40.36,40.44,48.37,53.04,53.54,58.38,I_IUIF,IT
,,,57.08,56.49,64.58,57.17,61.73,61.89,67.92,68.55,73.37,74.22,77.19,74.81,I_IUIF,LT
,,,84.21,69.72,82.23,75.91,86.19,81.58,76.38,67.25,68.32,66.8,69.47,60.12,I_IUIF,LU
,,,63.19,52.19,52.6,54.48,59.7,57.21,63.27,61.88,70.86,67.21,69.64,66.76,I_IUIF,LV
,,,17.39,,,,,39.91,45.16,37.88,47.03,49.67,58.08,55.71,I_IUIF,ME
,,,36.85,34.04,41.81,29.58,38.75,37.54,49.63,53.41,52.05,57.15,,,I_IUIF,MK
,,,56.58,50.1,63.77,61.4,64.77,71.1,71.25,71.56,77.19,77.63,79.51,78.04,I_IUIF,MT
,,,82.67,83.16,85.47,84.4,84.52,88.39,88.91,89.36,88.64,90.61,89.89,95.33,I_IUIF,NL
,,,87.71,79.01,88.14,82.17,88.37,83.11,90.61,90.3,91.17,92.75,95.63,95.52,I_IUIF,NO
,,,47.52,45.47,50.13,42.24,56.63,58.35,63.98,62.24,62.74,65.63,74.25,64.45,I_IUIF,PL
,,,51.36,45.98,55.67,52.14,58.68,60.49,63.58,64.74,68.12,71.37,72.76,73.18,I_IUIF,PT
,,,30.67,25.71,35.55,26.22,34.81,31.13,41.43,33.48,45.79,43.66,49.28,48.89,I_IUIF,RO
,,,,,,44.13,,53.04,56.31,52.78,56.07,59.64,67.58,65.16,I_IUIF,RS
,,,83.47,80.82,85.9,72.7,83.41,84.12,82.92,83.13,88.48,82.95,88.73,87.46,I_IUIF,SE
,,,58.52,54.76,62.08,60.97,64.64,69.38,69.25,69.89,76.71,75.2,75.34,76.56,I_IUIF,SI
,,,58.42,55.72,59.71,57.31,60.81,58.4,63.51,59.85,78.16,71.11,67.11,65.36,I_IUIF,SK
,,,26.19,25.86,32.59,30.44,38.23,42.62,48.17,48.1,51.98,48.19,61.44,61.2,I_IUIF,TR
,,,71.86,69.63,78.01,74.06,79.85,75.41,81.09,81.3,84.78,,,,I_IUIF,UK
,,,,,,,,,1.55,1.69,3.92,5.24,10.86,,I_IUBK,AL
,,,45.35,48.6,47.95,51.03,53.34,57.49,58.41,62.78,65.79,71.31,73.13,77.17,I_IUBK,AT
,,,,,,,,,4.9,5.45,12.26,12.82,,19.93,I_IUBK,BA
,,,55.77,57.83,61.24,62.28,64.48,66.63,68.74,71.18,75.3,75.26,79.51,79.6,I_IUBK,BE
,,,3.61,4.57,4.7,5.35,4.4,5.49,7.37,8.57,12.57,14.87,22.44,23.43,I_IUBK,BG
,,,,,54.29,,,66.05,,72.84,,77.44,,83.8,I_IUBK,CH
,,,20.96,23.26,24.2,20.47,27.72,27.59,33.28,40.54,52.12,64.71,63.94,70.86,I_IUBK,CY
,,,34.54,41.49,46.05,48.44,51.36,56.55,62.42,67.96,69.66,72.78,77.09,79.84,I_IUBK,CZ
,,,45.07,47.12,48.76,50.98,52.97,55.56,58.84,61.1,64.91,50.35,48.58,57.22,I_IUBK,DE
,,,79.35,82.46,84.28,84.89,87.86,89.77,89.47,90.78,94.32,94.59,94.35,96.22,I_IUBK,DK
,,,68.06,72.22,76.56,80.67,78.59,79.23,80.36,80.72,79.84,81.51,83.36,84.89,I_IUBK,EE
,,,9.13,10.72,13.14,13.87,19.16,25.12,27.28,30.51,36.55,42.4,49.78,52.01,I_IUBK,EL
,,,30.84,32.91,37.42,39.37,43.15,46.18,48.66,54.88,62.1,65.16,69.6,71.45,I_IUBK,ES
,,,38.17,40.13,42.29,43.82,46.27,48.88,51.43,54.57,57.69,58.31,59.34,63.87,I_IUBK,EU27_2020
,,,81.97,84.4,85.61,85.68,86.41,87.41,88.71,90.72,92.18,93.26,94.68,94.48,I_IUBK,FI
,,,54.04,57.56,57.6,58.28,59.36,62.01,63.48,65.55,,71.6,67.86,72.41,I_IUBK,FR
,,,20.68,23.32,19.14,32.9,38.33,33.3,40.74,46.46,50.15,55.53,57.96,61.88,I_IUBK,HR
,,,25.63,26.9,30.52,33.8,35.26,37.7,41.27,46.7,51.31,55.98,61.04,65.52,I_IUBK,HU
,,,42.73,45.58,48.11,51.47,52.34,57.64,57.67,67.39,68.99,76.87,,84.34,I_IUBK,IE
,,,86.25,86.74,91.4,,,93.02,94.29,94.26,95.93,94.87,,,I_IUBK,IS
,,,20.66,21.72,26.07,28.06,28.96,30.83,33.83,36.31,39.45,45.15,48.35,51.55,I_IUBK,IT
,,,42.7,46.42,53.57,50.16,54.2,56.19,60.62,64.73,67.6,72.39,74.82,75.73,I_IUBK,LT
,,,63.46,62.93,66.51,65.1,70.91,76.42,67.67,70.6,70.63,71.76,69.96,71.14,I_IUBK,LU
,,,47.14,54.89,56.76,64.32,62.08,61.19,66.33,71.58,76.4,80.23,82.45,83.74,I_IUBK,LV
,,,2.13,,,,,3.84,1.89,3.16,7.4,8.09,11.35,13.46,I_IUBK,ME
,,,7.79,5.93,8.52,4.92,8.66,8.15,9.46,14.88,15.28,26.95,,,I_IUBK,MK
,,,41.1,43.24,44.98,47.49,47.03,50.01,50.91,53.88,60.32,62.82,66.32,67.38,I_IUBK,MT
,,,80.31,82.01,83.43,84.53,84.69,88.91,88.94,90.63,89.41,90.76,90.72,95.13,I_IUBK,NL
,,,86.44,86.81,89.23,90.37,91.23,92.34,93.12,95.23,93.68,96.13,95.84,96.85,I_IUBK,NO
,,,31.96,32.01,32.59,31.2,39.11,39.77,44.01,47.27,49.49,52.24,55.55,59.09,I_IUBK,PL
,,,24.62,22.62,25.27,28.22,28.87,31.29,38.55,41.95,47.06,52.83,57.45,58.88,I_IUBK,PT
,,,3.45,4.3,4.16,5.34,5.06,6.83,6.87,8.36,11.65,15.49,19.19,21.89,I_IUBK,RO
,,,,,,8.44,,15.94,14.93,17.85,17.08,20.75,24.84,31.82,I_IUBK,RS
,,,79.2,81.81,81.66,79.64,83.19,86.47,83.86,84.47,84.69,83.5,83.5,84.49,I_IUBK,SE
,,,28.08,32.31,32.28,33.66,35.22,39.05,41.92,47.13,51.8,57.13,56.86,60.69,I_IUBK,SI
,,,39.54,38.74,40.59,37.27,45.37,51.11,49.8,54.77,58.2,57.89,48.08,57.72,I_IUBK,SK
,,,7.29,10.72,13.66,15.04,18.1,22.93,28.08,34.84,39.42,46.0,51.18,57.66,I_IUBK,TR
,,,51.55,54.02,56.85,58.38,64.16,68.35,73.88,77.7,80.41,,,,I_IUBK,UK
,,,,,,,,,,9.7,,4.91,,,I_IUJOB,AL
10.38,10.8,20.52,,18.32,,12.76,,11.77,,11.47,,12.38,,15.41,I_IUJOB,AT
,,,,,,,,,,4.16,,4.43,,6.78,I_IUJOB,BA
13.49,12.89,14.16,,14.54,,18.24,,15.2,,12.21,,14.37,,15.49,I_IUJOB,BE
8.71,9.38,11.72,,9.86,,10.77,,6.6,,7.18,,6.66,,8.05,I_IUJOB,BG
,,,,,,,,26.58,,25.78,,24.06,,24.64,I_IUJOB,CH
5.31,5.73,7.01,,11.36,,13.3,,13.46,,13.97,,9.42,,11.96,I_IUJOB,CY
7.93,7.76,7.27,,5.77,,5.24,,5.4,,6.09,,6.41,,8.33,I_IUJOB,CZ
17.83,16.56,18.18,,18.07,,18.97,,18.26,,17.18,,7.75,,8.08,I_IUJOB,DE
27.32,28.72,26.9,,22.36,,36.47,,23.51,,37.06,,36.33,,35.77,I_IUJOB,DK
22.09,25.24,24.79,,20.28,,21.97,,20.38,,20.58,,19.83,,21.95,I_IUJOB,EE
5.51,6.08,12.91,,15.98,,17.78,,15.34,,12.87,,10.31,,9.02,I_IUJOB,EL
16.67,16.16,16.97,,19.62,,20.23,,19.38,,18.24,,18.78,,18.78,I_IUJOB,ES
13.47,14.18,15.41,,16.06,,16.08,,15.83,,15.63,,13.42,,14.62,I_IUJOB,EU27_2020
24.05,27.37,26.79,,26.53,,26.76,,29.24,,32.05,,34.18,,34.41,I_IUJOB,FI
13.21,15.85,14.95,,17.75,,16.59,,16.21,,17.44,,15.72,,17.71,I_IUJOB,FR
14.29,16.89,19.84,,15.28,,16.37,,13.07,,14.31,,14.72,,21.64,I_IUJOB,HR
17.86,20.43,20.04,,17.95,,16.77,,13.93,,14.84,,16.59,,24.75,I_IUJOB,HU
13.58,14.47,19.58,,17.05,,13.91,,11.63,,17.46,,21.43,,22.69,I_IUJOB,IE
17.45,21.2,26.33,,26.51,,,,21.77,,19.76,,23.07,,,I_IUJOB,IS
9.28,10.08,11.91,,13.46,,12.42,,13.17,,13.64,,13.65,,15.18,I_IUJOB,IT
15.15,15.1,13.54,,12.22,,12.24,,12.58,,15.72,,14.79,,16.69,I_IUJOB,LT
12.59,12.97,14.56,,18.44,,19.59,,18.76,,20.02,,15.22,,15.41,I_IUJOB,LU
24.52,24.88,27.05,,16.97,,15.15,,16.03,,13.88,,12.3,,12.18,I_IUJOB,LV
,,,,,,,,12.06,,10.01,,14.71,,13.32,I_IUJOB,ME
9.04,10.79,,,15.76,,14.71,,8.79,,8.63,,6.94,,,I_IUJOB,MK
14.41,14.6,19.95,,20.09,,23.05,,21.29,,18.17,,14.56,,19.09,I_IUJOB,MT
17.08,18.92,18.64,,20.52,,24.12,,24.63,,25.14,,22.25,,23.26,I_IUJOB,NL
22.14,21.89,29.6,,26.77,,28.92,,25.81,,26.23,,29.53,,29.91,I_IUJOB,NO
9.05,10.41,11.49,,11.22,,9.87,,11.63,,8.78,,5.96,,5.74,I_IUJOB,PL
10.11,10.09,11.04,,14.38,,14.37,,14.47,,14.73,,14.85,,16.28,I_IUJOB,PT
4.72,6.71,8.84,,7.61,,6.45,,8.32,,4.79,,5.04,,6.11,I_IUJOB,RO
5.99,,,,,,12.41,,14.31,,14.33,,11.43,,8.9,I_IUJOB,RS
22.15,25.21,25.92,,28.84,,26.24,,27.48,,30.47,,27.69,,29.24,I_IUJOB,SE
12.24,13.9,13.76,,15.81,,13.01,,13.2,,13.41,,12.44,,10.29,I_IUJOB,SI
16.24,16.44,17.73,,13.11,,10.27,,16.39,,14.61,,15.28,,17.78,I_IUJOB,SK
4.5,3.84,,,5.56,,5.17,,6.2,,7.86,,8.97,,8.37,I_IUJOB,TR
24.98,22.13,26.17,,25.88,,25.54,,23.58,,24.64,,,,,I_IUJOB,UK
,,,,,,,,,,26.15,,8.52,17.35,,I_IUVOTE,AL
,,7.97,,11.27,,7.18,,6.65,,9.34,,13.79,13.88,12.67,I_IUVOTE,AT
,,,,,,,,,,3.76,,3.16,,4.36,I_IUVOTE,BA
,,2.17,,3.59,,4.85,,5.48,,5.21,,4.95,6.24,5.96,I_IUVOTE,BE
,,2.72,,3.24,,2.98,,2.6,,3.54,,4.01,7.58,6.84,I_IUVOTE,BG
,,,,,,,,18.76,,20.04,,18.98,,19.69,I_IUVOTE,CH
,,1.88,,2.97,,2.11,,2.03,,4.17,,2.2,3.77,2.16,I_IUVOTE,CY
,,4.3,,3.06,,4.9,,2.55,,5.93,,6.06,8.43,8.1,I_IUVOTE,CZ
,,11.17,,10.57,,13.07,,12.13,,16.82,,6.01,4.37,6.33,I_IUVOTE,DE
,,11.68,,11.5,,13.22,,13.52,,15.0,,12.35,12.87,12.02,I_IUVOTE,DK
,,8.81,,6.45,,11.32,,8.32,,25.99,,10.4,14.88,26.6,I_IUVOTE,EE
,,4.94,,5.36,,5.12,,3.61,,2.89,,3.44,5.06,3.63,I_IUVOTE,EL
,,6.7,,9.98,,9.76,,11.22,,10.89,,11.08,12.65,12.16,I_IUVOTE,ES
,,7.37,,7.59,,7.39,,7.97,,9.54,,8.46,8.35,8.44,I_IUVOTE,EU27_2020
,,12.01,,18.69,,14.56,,12.88,,14.9,,20.69,19.04,16.37,I_IUVOTE,FI
,,6.96,,10.36,,5.98,,7.41,,9.08,,9.19,8.89,8.46,I_IUVOTE,FR
,,6.27,,7.12,,8.65,,7.33,,10.27,,8.4,8.98,7.72,I_IUVOTE,HR
,,3.36,,2.86,,2.43,,3.34,,5.0,,12.1,14.16,14.87,I_IUVOTE,HU
,,3.96,,3.5,,3.31,,4.5,,6.67,,13.7,,11.57,I_IUVOTE,IE
,,31.57,,25.23,,,,25.99,,26.31,,25.99,,,I_IUVOTE,IS
